Grant ID,Grant Number,Publication Title ,Publication Year,Authors ,Journal,Rubric 2 (original),check of Rubric 2 score,NEW Interdiscplinary Rubric (1),Citations,date for cite count,Abstract,Notes
grant.3029637,218001,Capturing diversity and interspecific variability in allometries: a hierarchical approach,2008,"Dietze, M., M. Wolosin, J. S. Clark",Forest Ecology and Management,3,,,83,,,More than 10 citations - randomly selected 10
grant.3050510,423476,Placing the pieces: Reconstructing the original property mosaic in a warrant and patent watershed,2005,Bain and Brush,Landscape Ecology,3,,,29,,,More than 10 citations - randomly selected 10
grant.3050510,423476,Soil chemical and physical properties that differentiate urban land-use and cover types,2007,Pouyat et al. ,Soil Science Society of America Journal,2,,,274,,,More than 10 citations - randomly selected 10
grant.3050510,423476,Nitrogen processing within geomorphic features in urban streams,2005,Groffman et al. ,Journal of North American Benthological Society,3,,,211,,,More than 10 citations - randomly selected 10
grant.3050510,423476,The open research system: a web-based metadata and data repository for collaborative research,2005,Schweil et al. ,Computers and Electronics in Agriculture,3,,,24,,,More than 10 citations - randomly selected 10
grant.3050510,423476,Field studies of the storm event hydrologic response in an urbanizing watershed,2005,Smith et al. ,Water Resources Research,2,,,129,,,More than 10 citations - randomly selected 10
grant.3050510,423476,Using transects to sample digital orthophotography of urbanizing catchments to provide landscape position descriptions,2006,"Tenenbaum et al.
",GIScience and Remote Sensing,3,,,5,,,More than 10 citations - randomly selected 10
grant.3050510,423476,"Root biomass, organic matter and denitrification potential in degraded and restored urban riparian zones",2007,"Gift et al. 
",Restoration Ecology ,2,,,5,,,More than 10 citations - randomly selected 10
grant.3050510,423476,"Analysis of soil moisture patterns in forested and suburban catchments in Baltimore, Maryland, using high resolution photogrammetric and LIDAR digital elevation datasets",2006,"Tenenbaum et al.
",Hydrological Processes,2,,,63,,,More than 10 citations - randomly selected 10
grant.3050510,423476,Thinking broadly about costs and benefits in ecological management,2006,Costanza,"Integrated Environmental Assessment and Management
",1,,,34,,,More than 10 citations - randomly selected 10
grant.3050510,423476,Linking ecological and built components of urban mosaics: an open cycle of ecological design,2008,Pickett and Cadenasso,Journal of Ecology,1,,,184,,,More than 10 citations - randomly selected 10
grant.3000029,1048912,Simple and efficient self-healing strategy for damaged complex networks,2015,"Gallos, L., and N.H. Fefferman",Physical Review E,3,,,19,,"The process of destroying a complex network through node removal has been the subject of extensive interest and research. Node loss typically leaves the network disintegrated into many small and isolated clusters. Here we show that these clusters typically remain close to each other and we suggest a simple algorithm that is able to reverse the inflicted damage by restoring the network's functionality. After damage, each node decides independently whether to create a new link depending on the fraction of neighbors it has lost. In addition to relying only on local information, where nodes do not need knowledge of the global network status, we impose the additional constraint that new links should be as short as possible (i.e. that the new edge completes a shortest possible new cycle). We demonstrate that this self-healing method operates very efficiently, both in model and real networks. For example, after removing the most connected airports in USA, the self-healing algorithm re-joined almost 90\% of the surviving airports.",More than 10 citations - randomly selected 10
grant.3000029,1048912,Revealing effective classifiers through network comparison,2014,"Gallos, L., and N.H. Fefferman",Europhysics Letters,3,,,7,,,More than 10 citations - randomly selected 10
grant.3000029,1048912,The Effect of Disease-Induced Mortality on Structural Network Properties,2015,"Gallos, L., and N.H. Fefferman",PLoS One,3,,,5,,,More than 10 citations - randomly selected 10
grant.3000029,1048912,Energetics of Eddy-Mean Flow Interactions in the Gulf Stream Region,2015,"Kang, D. and E.N. Curchitser",Journal of Physical Oceanography,3,,,38,,,More than 10 citations - randomly selected 10
grant.3000029,1048912,Higher-Order Interactions: Understanding the knowledge capacity of social groups using simplicial sets,2016,"Greening, B.R., N. Pinter-Wollman, and N.H. Fefferman",Current Zoology,3,,,14,,,More than 10 citations - randomly selected 10
grant.3000029,1048912,Gulf Stream eddy characteristics in a high-resolution ocean model,2013,Kand and Curchitser,Journal of Geophysical Research - Oceans,3,,,48,,,More than 10 citations - randomly selected 10
grant.3000029,1048912,LP-CEM: A modeling tool for power systems planning incorporating climate change effects and macro-economic trends,2015,"Shankar Chandramowli, Frank Felder, Nancy Mantell, Will Irving, Joseph Seneca",Energy Strategy Review,2,,,0,,,More than 10 citations - randomly selected 10
grant.3000029,1048912,Seasonal Variability of the Gulf Stream Kinetic Energy,2016,"Kang, Curchitser and Rosati",Journal of Physical Oceanography,3,,,14,,,More than 10 citations - randomly selected 10
grant.3000029,1048912,Stochastic Optimization for Electric Power Generation Expansion Planning with Discrete Climate Change Scenarios,2016,"Shuya Li, David W. Coit, Frank Felder",Electrical Power Systems Research,2,,,21,,,More than 10 citations - randomly selected 10
grant.3000029,1048912,Evolutionary Significance of the Role of Family Units in a Broader Social System,2014,"Greening, B.R. and N.H. Fefferman",Nature Scientific Reports,2,,,6,,,More than 10 citations - randomly selected 10
grant.3091408,823293,Sustained effects of atmospheric [CO2] and nitrogen availability on forest soil CO2 efflux,2014,"Oishi, A. Christopher, Sari Palmroth, Kurt H. Johnsen, Heather R. McCarthy and Ram Oren",GLOBAL CHANGE BIOLOGY,3,,,22,,,More than 10 citations - randomly selected 10
grant.3091408,823293,Variable infection of stream salamanders in the southern Appalachians by the trematode Metagonimoides oregonensis (family: Heterophyidae),2015,"Wyderko, Jennie, A. and Benfield, E. Fred and Maerz, John, C. and Cecala, Kristen, K. and Belden, Lisa, K.",Parasitol Research,3,,,2,,,More than 10 citations - randomly selected 10
grant.3091408,823293,Effects of Watershed History on Dissolved Organic Matter Characteristics in Headwater Streams,2011,"Yamashita, Youhei, Brian D. Kloeppel, Jennifer Knoepp, Gregory L. Zausen and Rudolf Jaffe",Ecosystems,3,,,121,,,More than 10 citations - randomly selected 10
grant.3091408,823293,Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient,2010,"Hagen, E. M.; McTammany, M. E.; Webster, J. R.; Benfield, E. F.",Hydrobiologia,2,,,62,,,More than 10 citations - randomly selected 10
grant.3091408,823293,Ecosystem processes at the watershed scale: Mapping and modeling ecohydrological controls of landslides,2012,"Band, Lawrence E.; Hwang, T.; Hales, T.C.; Vose, J.; Ford, C.",Geomorphology,3,,,47,,,More than 10 citations - randomly selected 10
grant.3091408,823293,Transforming Participatory Science into Socio-Ecological Praxis: Valuing Marginalized Environmental Knowledges in the Face of the Neoliberalization of Nature and Science,2014,"Burke, Brian J. and Nik Heynen",Environment and Society,1,,,26,,,More than 10 citations - randomly selected 10
grant.3091408,823293,Estimating Rhododendron maximum L. (Ericaceae) Canopy Cover using GPS/GIS Technology,2013,"Tran, Tyler J. Elliott, Katherine J.", Castanea,3,,,1,,,More than 10 citations - randomly selected 10
grant.3091408,823293,Ecosystem function in headwater streams during active infestation by hemlock woolly adelgid,2013,"Northington, R.M. , J.R. Webster, E. F. Benfield, B. M. Cheever and B.R. and B.R. Niederlehner.",PLoS One,3,,,6,,,More than 10 citations - randomly selected 10
grant.3091408,823293,How well do terrestrial biosphere models simulate coarse-scale runoff in the contiguous United States?,2015,"Schwalm, C.R. and Huntzinger, D.N. and Cook, R.B. and Wei, Y. and Baker, I.T. and Neilson, R.P. and Poulter, B. and Caldwell, Peter and Sun, G. and Tian, H.Q. and Zeng, N.",Ecological Modelling,3,,,2,,,More than 10 citations - randomly selected 10
grant.3091408,823293,A new genus and species of lungless salamander (family Plethodontidae) from the Appalachian highlands of the south-eastern United States,2009,"Camp, C.D., W. E. Peterman, J. R. Milanovich, T. Lamb, J. C. Maerz & D. B. Wake",Journal of Zoology,3,,,32,,,More than 10 citations - randomly selected 10
grant.3065130,553164,Chemical and Microbiological Parameters in New Orleans Floodwater Following Hurricane Katrina,2005,"Pardue, JH, WM Moe, D Mcinnis, LJ Thibodeaux, KT Valsaraj, E. Maciasz, I Van Heerden, N Korevec, QZ Yuan",Environmental Science and Technology,3,,,89,,,
grant.3065130,553164,Toxic and contaminant concerns generated by Hurricane Katrina,2006,"Reible, DD; Haas, CN; Pardue, JH; Walsh, WJ",JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,2,,,4,,,
grant.3065031,552796,Salamanders in forest-floor food webs: Invertebrate species composition influences top-down effects,2006,"Walton, B. Michael, Dimitrios Tsatiris, Mary Rivera-Sostre",Pedobiologia,3,,,51,,,
grant.3065031,552796,Genetic divergence across a low-head dam: a preliminary analysis using logperch and greenside darters,2007,"Haponski, A.E., Marth, T.A., Stepien, C.A.",Journal of Great Lakes Research,3,,,27,,,
grant.3097326,851893,Identification of water stress in citrus leaves using sensing technologies,2013,"Johnson, K., S. Sankaran, R. Ehsani",Agronomy,3,,,1,,,
grant.3086430,754991,Interactive effects of light and nutrients on phytoplankton stoichiometry,2006,"Dickman E.M., M.J. Vanni and M.J. Horgan",Oecologia,3,,,92,,,
grant.3086430,754991,Effects of body size on reproduction and survival in the prairie vole (Microtus ochragaster): Is bigger better?,2007,"Goyal, U., L. Bryant, N.G. Solomon, and B. Keane",Journal of Young Investigators,3,,,1,,,
grant.3086430,754991,Effect of body condition at weaning on survival and reproduction in prairie voles,2007,"Keane, B., L. Bryant, U. Goyal, S. Williams, S.L. Kortering, K.E. Lucia, A.R. Richmond",Canadian Journal of Zoology,3,,,25,,,
grant.3086430,754991,Detecting an invasive shrub in a deciduous forest understory using late-fall Landsat sensor imagery,2007,"Resasco, J., A.N. Hale, M.C. Henry and D.L. Gorchov",International Journal of Remote Sensing,3,,,55,,,
grant.3086430,754991,Water and fertilizer have opposite effects on plant species richness in a mesic early successional habitat,2006,"Stevens, M.H.H., R. Shirk, and C.E. Steiner",Plant Ecology,3,,,43,,,
grant.3086430,754991,Nutrient and light limitation of reservoir phytoplankton in relation to storm-mediated pulses in stream discharge,2006,"Vanni, M.J., R.S. Andrews, W.H. Renwick, M.J. González and S.E. Noble",Archiv für Hydrobiologie,3,,,49,,,
grant.3086430,754991,"Population genetic structure of the freshwater mussel Lampsilis siliquoidea (Bivalvia: Unionidae) in the Darby Creek watershed, central Ohio",2007,"Wolfe, M.D., E. M. Monroe, and D. J. Berg",Journal of Young Investigators,3,,,5,,,
grant.3050535,423627,Plant controls on decomposition rates: The benefits of restoring abandoned agricultural lands with native prairie grasses,2010,"Mahaney, W.M",Plant and Soil,3,,,15,,,More than 10 citations - randomly selected 10
grant.3050535,423627,Weed community and corn yield variability in diverse management systems,2006,"Smith, RG and Gross, KL",Weed Science,2,,,50,,,More than 10 citations - randomly selected 10
grant.3050535,423627,Isotopologue effects during N2O reduction in soils and in pure cultures of denitrifiers,2007,"Ostrom, NE; Pitt, A; Sutka, R; Ostrom, PH; Grandy, AS; Huizinga, KM; Robertson, GP.",Journal of Geophysical Research - Biogeosciences,3,,,140,,,More than 10 citations - randomly selected 10
grant.3050535,423627,Nitrogen in agriculture: balancing the cost of an essential resource,2009,"Robertson, G.P.; Vitousek, P.M.", Annual Review of Environment and Resources,2,,,722,,,More than 10 citations - randomly selected 10
grant.3050535,423627,"Market Interactions, Farmers' Choices, and the Sustainability of Growing Advanced Biofuels: A Missing Perspective?",2009,"Jiang, Y. and S. M. Swinton.",Ecology,1,,,9,,,More than 10 citations - randomly selected 10
grant.3050535,423627,Does the acid hydrolysis-incubation method measure meaningful soil organic carbon pools?,2006,"Paul, EA; Morris, SJ; Conant, RT; Plante, AF.",SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,3,,,242,,,More than 10 citations - randomly selected 10
grant.3050535,423627,Contemporary evidence for soil carbon loss under different crop management systems and never tilled grassland in the U.S. corn belt,2009,"Senthilkumar, S.; Basso, B.; Kravchenko, A. N.; Robertson, G. P.",SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,2,,,87,,,More than 10 citations - randomly selected 10
grant.3050535,423627,Initial cultivation of a temperate-region soil immediately accelerates aggregate turnover and CO2 and N2O fluxes,2006,"Grandy, AS; Robertson, GP",GLOBAL CHANGE BIOLOGY,3,,,3,,,More than 10 citations - randomly selected 10
grant.3050535,423627,Reimagining farms as managed ecosystems,2008,"Swinton, S.M.",CHOICES,1,,,24,,,More than 10 citations - randomly selected 10
grant.3050535,423627,Specific contributions of decaying alfalfa roots to nitrate leaching in a Kalamazoo loam soil,2005,"Kavdir, Y; Rasse, DP; Smucker, AJM.",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,3,,,24,,,More than 10 citations - randomly selected 10
grant.3104829,926349,"Something Borrowed, Everything New: Innovation and Institutionalization in Urban Climate Governance",2011,"Anguelovski, Isabelle and JoAnn Carmin",Current Opinion in Environmental Sustainability,2,,,355,,,
grant.3104829,926349,Urban Climate Adaptation in the Global South: Planning in an Emerging Policy Domain,2012,"Carmin, JoAnn, Isabelle Anguelovski, and Debra Roberts",Journal of Planning Education and Research,2,,,271,,,
grant.3104829,926349,Initiation and Formalization of Urban Climate Adaptation: Early Lessons from Early Adapters,2011,"Carmin, JoAnn, David Dodman, and Eric Chu",UGEC Viewpoints,2,,,?,,,
